Full Course Name,Moodle Category,Total Units,Type,Campus,Semester,Start Date,End Date,Department
ENTREP101 - The Entrepreneurial Mind,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
SOCIO 101 - The Contemporary World,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
HUM 101 - Art Appreciation,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
MATH 101 - Mathematics in the Modern World,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-INTCOM11 - Introduction to Computing,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-COMPROG11 - Computer Programming 1,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
PE 101 - Movement Competency Training (PATHFit 1),BSCS Year 1,2,Core,ucmn,1,2026-06-15,2026-10-30,CCS
NSTP 101 - Nat'l Service Training Program 1,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
PSYCH 101 - Understanding the Self,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
ENGL 101 - Purposive Communication,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
HIST 101 - Readings in Philippine History,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-COMPROG12 - Computer Programming 2,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-DISCRET12 - Discrete Structures 1,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-TWRITE12 - Tech. Writing & Presentation Skills in IT,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
PE 102 - Exercise-based Fitness Activities (PATHFit 2),BSCS Year 1,2,Core,ucmn,1,2026-06-15,2026-10-30,CCS
NSTP 102 - Nat'l Service Training Program 2,BSCS Year 1,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
"STS 101 - Science, Technology & Society",BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
"RIZAL 101 - Life, Works & Writings of Dr. Jose Rizal",BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-DISCRET21 - Discrete Structures 2,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-DASTRUC21 - Data Structures & Algorithms,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-QUAMETH21 - Quantitative Methods w/ Prob. & Stat.,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-DIFFCAL21 - Differential Calculus,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-OOPROG21 - Object Oriented Programming,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
PE 103 - Sports and Dance (PATHFit 3),BSCS Year 2,2,Core,ucmn,1,2026-06-15,2026-10-30,CCS
SOCIO 102 - Gender and Society,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
PHILO 101 - Ethics,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-DIGILOG22 - Digital Logic Design,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-APPSDEV22 - Applications Dev't & Emerging Tech.,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-DAALGO22 - Design and Analysis of Algorithms,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-DATACOM22 - Data Communications,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-INTCALC22 - Integral Calculus,BSCS Year 2,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
"PE 104 - Sports, Outdoor and Adventure (PATHFit 4)",BSCS Year 2,2,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-IMDBSYS31 - Information Management (DB Sys),BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-PROGLAN31 - Programming Languages,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-SOFTENG31 - Software Engineering 1,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-HCI31 - Human Computer Interaction,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-RESCOM31 - Methods of Research in Computing,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-COMORG31 - Comp. Organization & Assembly Lang.,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-EL - CS Elective 1,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-FRE - Free Elective 2,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
LIT 101 - Literatures of the World,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-AUTOLAN32 - Automata & Language Theory,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-INFOSEC32 - Information Assurance & Security,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-SOFTENG32 - Software Engineering 2,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-GRAPHICS32 - Graphics and Visual Computing,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-OPSYS32 - Operating Systems,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-EL - CS Elective 2,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-FRE - Free Elective 1,BSCS Year 3,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-THESIS41 - Thesis 1,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-PRACT41 - Practicum,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-EL - CS Elective 3,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-THESIS42 - Thesis 2,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CC-PROFIS10 - Professional Issues in Computing,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
CS-FRE - Free Elective 3,BSCS Year 4,3,Core,ucmn,1,2026-06-15,2026-10-30,CCS
ELDNET1 - .NET Programming Module 1,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDNET2 - .NET Programming Module 2,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELJAVA - Advanced Java Programming,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDROID1 - ANDROID Programming Module 1,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELDROID2 - ANDROID Programming Module 2,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELEMSYS - Embedded Systems & IoT,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELIM - Introduction to Imaging & Multimedia,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
EL3D - 3D Game Development,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELNEURAL - Neural Networks & Deep Learning,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELASI - ASI-UC Near-Hire Program,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
ELPYTHON - Python Programming,BSCS Electives,3,Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREDTHINK - Principles of Design Thinking,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREFORLAN - Foreign Language,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREIP - Introduction to Intellectual Property,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRETRNDS - Emerging Technologies in ICT,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECD - Introduction to Compiler Design,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECLOUD - Distributed Systems & Cloud Computing,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREAI - Fundamentals of Artificial Intelligence,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FREAI2 - Advanced Artificial Intelligence,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRECERT - Professional Certifications Review,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
FRETECHNO - Technopreneurship,BSCS Electives,3,Free Elective,ucmn,1,2026-06-15,2026-10-30,CCS
