shortname,fullname,category_path,startdate,enddate,visible
ENTREP101,The Entrepreneurial Mind,BSCS/Year 1,2026-06-15,2026-10-30,1
SOCIO 101,The Contemporary World,BSCS/Year 1,2026-06-15,2026-10-30,1
HUM 101,Art Appreciation,BSCS/Year 1,2026-06-15,2026-10-30,1
MATH 101,Mathematics in the Modern World,BSCS/Year 1,2026-06-15,2026-10-30,1
CC-INTCOM11,Introduction to Computing,BSCS/Year 1,2026-06-15,2026-10-30,1
CC-COMPROG11,Computer Programming 1,BSCS/Year 1,2026-06-15,2026-10-30,1
PE 101,Movement Competency Training (PATHFit 1),BSCS/Year 1,2026-06-15,2026-10-30,1
NSTP 101,Nat'l Service Training Program 1,BSCS/Year 1,2026-06-15,2026-10-30,1
PSYCH 101,Understanding the Self,BSCS/Year 1,2026-06-15,2026-10-30,1
ENGL 101,Purposive Communication,BSCS/Year 1,2026-06-15,2026-10-30,1
HIST 101,Readings in Philippine History,BSCS/Year 1,2026-06-15,2026-10-30,1
CC-COMPROG12,Computer Programming 2,BSCS/Year 1,2026-06-15,2026-10-30,1
CS-DISCRET12,Discrete Structures 1,BSCS/Year 1,2026-06-15,2026-10-30,1
CC-TWRITE12,Tech. Writing & Presentation Skills in IT,BSCS/Year 1,2026-06-15,2026-10-30,1
PE 102,Exercise-based Fitness Activities (PATHFit 2),BSCS/Year 1,2026-06-15,2026-10-30,1
NSTP 102,Nat'l Service Training Program 2,BSCS/Year 1,2026-06-15,2026-10-30,1
STS 101,"Science, Technology & Society",BSCS/Year 2,2026-06-15,2026-10-30,1
RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",BSCS/Year 2,2026-06-15,2026-10-30,1
CS-DISCRET21,Discrete Structures 2,BSCS/Year 2,2026-06-15,2026-10-30,1
CC-DASTRUC21,Data Structures & Algorithms,BSCS/Year 2,2026-06-15,2026-10-30,1
CC-QUAMETH21,Quantitative Methods w/ Prob. & Stat.,BSCS/Year 2,2026-06-15,2026-10-30,1
CS-DIFFCAL21,Differential Calculus,BSCS/Year 2,2026-06-15,2026-10-30,1
CS-OOPROG21,Object Oriented Programming,BSCS/Year 2,2026-06-15,2026-10-30,1
PE 103,Sports and Dance (PATHFit 3),BSCS/Year 2,2026-06-15,2026-10-30,1
SOCIO 102,Gender and Society,BSCS/Year 2,2026-06-15,2026-10-30,1
PHILO 101,Ethics,BSCS/Year 2,2026-06-15,2026-10-30,1
CC-DIGILOG22,Digital Logic Design,BSCS/Year 2,2026-06-15,2026-10-30,1
CC-APPSDEV22,Applications Dev't & Emerging Tech.,BSCS/Year 2,2026-06-15,2026-10-30,1
CS-DAALGO22,Design and Analysis of Algorithms,BSCS/Year 2,2026-06-15,2026-10-30,1
CC-DATACOM22,Data Communications,BSCS/Year 2,2026-06-15,2026-10-30,1
CS-INTCALC22,Integral Calculus,BSCS/Year 2,2026-06-15,2026-10-30,1
PE 104,"Sports, Outdoor and Adventure (PATHFit 4)",BSCS/Year 2,2026-06-15,2026-10-30,1
CS-IMDBSYS31,Information Management (DB Sys),BSCS/Year 3,2026-06-15,2026-10-30,1
CS-PROGLAN31,Programming Languages,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-SOFTENG31,Software Engineering 1,BSCS/Year 3,2026-06-15,2026-10-30,1
CC-HCI31,Human Computer Interaction,BSCS/Year 3,2026-06-15,2026-10-30,1
CC-RESCOM31,Methods of Research in Computing,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-COMORG31,Comp. Organization & Assembly Lang.,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-EL,CS Elective 1,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-FRE,Free Elective 2,BSCS/Year 3,2026-06-15,2026-10-30,1
LIT 101,Literatures of the World,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-AUTOLAN32,Automata & Language Theory,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-INFOSEC32,Information Assurance & Security,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-SOFTENG32,Software Engineering 2,BSCS/Year 3,2026-06-15,2026-10-30,1
CC-GRAPHICS32,Graphics and Visual Computing,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-OPSYS32,Operating Systems,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-EL,CS Elective 2,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-FRE,Free Elective 1,BSCS/Year 3,2026-06-15,2026-10-30,1
CS-THESIS41,Thesis 1,BSCS/Year 4,2026-06-15,2026-10-30,1
CS-PRACT41,Practicum,BSCS/Year 4,2026-06-15,2026-10-30,1
CS-EL,CS Elective 3,BSCS/Year 4,2026-06-15,2026-10-30,1
CS-THESIS42,Thesis 2,BSCS/Year 4,2026-06-15,2026-10-30,1
CC-PROFIS10,Professional Issues in Computing,BSCS/Year 4,2026-06-15,2026-10-30,1
CS-FRE,Free Elective 3,BSCS/Year 4,2026-06-15,2026-10-30,1
ELDNET1,.NET Programming Module 1,BSCS/Year 0,2026-06-15,2026-10-30,1
ELDNET2,.NET Programming Module 2,BSCS/Year 0,2026-06-15,2026-10-30,1
ELJAVA,Advanced Java Programming,BSCS/Year 0,2026-06-15,2026-10-30,1
ELDROID1,ANDROID Programming Module 1,BSCS/Year 0,2026-06-15,2026-10-30,1
ELDROID2,ANDROID Programming Module 2,BSCS/Year 0,2026-06-15,2026-10-30,1
ELEMSYS,Embedded Systems & IoT,BSCS/Year 0,2026-06-15,2026-10-30,1
ELIM,Introduction to Imaging & Multimedia,BSCS/Year 0,2026-06-15,2026-10-30,1
EL3D,3D Game Development,BSCS/Year 0,2026-06-15,2026-10-30,1
ELNEURAL,Neural Networks & Deep Learning,BSCS/Year 0,2026-06-15,2026-10-30,1
ELASI,ASI-UC Near-Hire Program,BSCS/Year 0,2026-06-15,2026-10-30,1
ELPYTHON,Python Programming,BSCS/Year 0,2026-06-15,2026-10-30,1
FREDTHINK,Principles of Design Thinking,BSCS/Year 0,2026-06-15,2026-10-30,1
FREFORLAN,Foreign Language,BSCS/Year 0,2026-06-15,2026-10-30,1
FREIP,Introduction to Intellectual Property,BSCS/Year 0,2026-06-15,2026-10-30,1
FRETRNDS,Emerging Technologies in ICT,BSCS/Year 0,2026-06-15,2026-10-30,1
FRECD,Introduction to Compiler Design,BSCS/Year 0,2026-06-15,2026-10-30,1
FRECLOUD,Distributed Systems & Cloud Computing,BSCS/Year 0,2026-06-15,2026-10-30,1
FREAI,Fundamentals of Artificial Intelligence,BSCS/Year 0,2026-06-15,2026-10-30,1
FREAI2,Advanced Artificial Intelligence,BSCS/Year 0,2026-06-15,2026-10-30,1
FRECERT,Professional Certifications Review,BSCS/Year 0,2026-06-15,2026-10-30,1
FRETECHNO,Technopreneurship,BSCS/Year 0,2026-06-15,2026-10-30,1
